modelo,periodo,n,mse_norm,rmse_mwmed,mae_mwmed,r2,bias_mwmed,satura
media_treino,treino_2015_2022,2919,0.04775092,2029.83,1695.82,0.0,0.0,nao_aplica
media_mensal_treino,treino_2015_2022,2919,0.04127742,1887.23,1557.45,0.1356,-0.0,nao_aplica
interpolacao_quadratica,treino_2015_2022,2919,0.0761633,2563.55,2127.67,-0.595,-1901.24,nao
linear_com_plato,treino_2015_2022,2919,0.02800002,1554.35,1270.51,0.4136,-20.33,sim (~13834 m3/s)
persistencia_dia_anterior,treino_2015_2022,2919,0.00550139,688.98,521.39,0.8848,0.54,nao_aplica
persistencia_residual_mlp,treino_2015_2022,2919,0.00531103,676.95,510.88,0.8888,0.71,alpha=0.30
mlp_1d,treino_2015_2022,2919,0.02291724,1406.21,1114.51,0.5201,0.11,nao_forcada
pinn_fisica_1d,treino_2015_2022,2919,0.02736988,1536.76,1199.74,0.4268,-86.59,sim (~10662 m3/s)
mlp_hidrologico,treino_2015_2022,2919,0.01203975,1019.24,792.86,0.7479,0.01,nao_forcada
pinn_hidrologica,treino_2015_2022,2919,0.01445361,1116.75,873.54,0.6973,-5.14,sim (~12690 m3/s)
rf_hidrologica,treino_2015_2022,2919,0.00931163,896.36,692.04,0.805,-5.58,nao_forcada
mlp_multivariado,treino_2015_2022,2919,0.01249685,1038.41,804.6,0.7383,101.78,nao_forcada
rf_multivariada,treino_2015_2022,2919,0.00928187,894.93,689.3,0.8056,2.16,nao_forcada
pinn_multivariada,treino_2015_2022,2919,0.01533527,1150.31,899.55,0.6788,108.88,sim (~9003 m3/s)
media_treino,teste_2023_2024,731,0.04607555,1993.91,1630.18,-0.3814,1047.74,nao_aplica
media_mensal_treino,teste_2023_2024,731,0.03980487,1853.27,1539.95,-0.1934,1048.24,nao_aplica
interpolacao_quadratica,teste_2023_2024,731,0.03310961,1690.23,1338.83,0.0073,-867.9,nao
linear_com_plato,teste_2023_2024,731,0.0356107,1752.91,1433.21,-0.0677,995.34,sim (~13834 m3/s)
persistencia_dia_anterior,teste_2023_2024,731,0.00404032,590.44,464.56,0.8789,-0.94,nao_aplica
persistencia_residual_mlp,teste_2023_2024,731,0.00397909,585.95,460.45,0.8807,-0.6,alpha=0.30
mlp_1d,teste_2023_2024,731,0.02563419,1487.23,1212.75,0.2314,867.61,nao_forcada
pinn_fisica_1d,teste_2023_2024,731,0.03654923,1775.86,1340.89,-0.0958,846.85,sim (~10662 m3/s)
mlp_hidrologico,teste_2023_2024,731,0.02924795,1588.61,1230.35,0.1231,680.73,nao_forcada
pinn_hidrologica,teste_2023_2024,731,0.03231345,1669.79,1261.14,0.0312,743.21,sim (~12690 m3/s)
rf_hidrologica,teste_2023_2024,731,0.02699487,1526.2,1192.01,0.1906,757.98,nao_forcada
mlp_multivariado,teste_2023_2024,731,0.03058599,1624.54,1234.56,0.083,766.74,nao_forcada
rf_multivariada,teste_2023_2024,731,0.02710609,1529.34,1191.94,0.1873,761.51,nao_forcada
pinn_multivariada,teste_2023_2024,731,0.03240458,1672.14,1262.57,0.0284,841.86,sim (~9003 m3/s)
