vazao,geracao_l0,geracao_l02,geracao_l1
2181.1650390625,4212.391100393631,5185.09139524231,5094.162523858286
2365.531703756313,4545.845627102659,5410.134707226154,5309.872184579172
2549.8983684501263,4873.6798525091335,5623.351936616178,5518.595996685283
2734.2650331439395,5195.506527878986,5827.565105708995,5722.273237150737
2918.6316978377527,5510.966602644915,6025.129192435881,5922.3191727068825
3102.9983625315654,5819.730101072053,6217.983508787063,6119.762208387265
3287.365027225379,6121.496744021213,6407.701424639847,6315.347002264027
3471.7316919191917,6415.996321875067,6595.536682712316,6509.6109084030895
3656.0983566130053,6702.988827794323,6782.4655536968885,6702.940157403199
3840.465021306818,6982.264363201182,6969.224715582051,6895.610946886143
4024.831686000631,7253.6428297148905,7156.34511124814,7087.819438377086
4209.198350694444,7516.973423670893,7344.182224957654,7279.7036660121175
4393.565015388258,7772.133950836114,7532.943282300016,7471.359577635301
4577.931680082071,8019.029979994214,7722.711863719089,7662.852829396653
4762.298344775883,8257.593854732984,7913.470360354306,7854.22750740844
4946.665009469697,8487.783583046414,8105.120614563513,8045.512620755102
5131.031674163511,8709.581624298027,8297.502991455909,8236.72697025951
5315.398338857323,8922.993592716777,8490.414032596254,8427.882823750919
5499.765003551136,9128.046895952386,8683.622755932653,8618.988703398887
5684.131668244949,9324.789326345213,8876.885591689153,8810.051500683412
5868.498332938762,9513.287621509058,9069.959885342465,9001.078069981322
6052.864997632576,9693.626009624928,9262.6158573113,9192.076405438844
6237.231662326389,9865.904753539427,9454.646884904287,9383.056472622868
6421.598327020202,10030.238706389253,9645.877964745398,9574.030742700274
6605.964991714015,10186.755890067445,9836.172221962377,9765.014459939426
6790.331656407829,10335.59610643648,10025.435354028668,9956.025661276866
6974.698321101642,10476.909589804018,10213.617930160774,10147.084958208976
7159.064985795454,10610.85570783075,10400.715509375135,10338.215085414406
7343.431650489268,10737.601716753989,10586.766589561266,10529.440216633446
7527.79831518308,10857.32157559933,10771.84845426799,10720.785045979748
7712.164979876894,10970.194822925918,10956.071041574483,10912.27363174125
7896.531644570708,11076.405518616495,11139.569018847465,11103.92799965678
8080.89830926452,11176.141252284604,11322.49230685527,11295.76650352966
8265.264973958332,11269.592219030836,11504.995355019975,11487.80194281831
8449.631638652147,11356.950362536758,11687.225524684312,11680.039439530512
8633.99830334596,11438.40858483719,11869.31098688667,11872.474080380338
8818.364968039772,11514.160021555144,12051.34858251179,12065.088334805849
9002.731632733587,11584.397380914357,12233.392122557507,12257.849265166737
9187.098297427397,11649.312344456073,12415.44162101724,12450.705552325024
9371.464962121212,11709.095027073792,12597.433948837419,12643.584367934127
