data,periodo,vazao_proxy_m3s,geracao_real_mwmed,vazao_turbinada_equivalente_m3s,razao_qeq_qproxy,produtividade_proxy_mw_por_m3s
2015-01-02,treino,3546.0000,8706.3879,8356.8862,2.356708,2.455270
2015-01-03,treino,3270.7000,7748.2388,7437.2002,2.273886,2.368985
2015-01-04,treino,3094.3000,7809.1086,7495.6265,2.422398,2.523708
2015-01-05,treino,3722.3999,8836.2558,8481.5408,2.278514,2.373806
2015-01-06,treino,4574.7998,9819.7910,9425.5938,2.060329,2.146496
2015-01-07,treino,4766.7002,10430.7670,10012.0433,2.100414,2.188257
2015-01-08,treino,4980.0000,10746.1996,10314.8135,2.071248,2.157871
2015-01-09,treino,4893.0000,10297.3012,9883.9352,2.020015,2.104496
2015-01-10,treino,4539.2002,9874.5123,9478.1184,2.088059,2.175386
2015-01-11,treino,4090.6001,9660.7595,9272.9463,2.266891,2.361697
2015-01-12,treino,4355.8999,11096.9200,10651.4548,2.445294,2.547561
2015-01-13,treino,5320.0000,11247.5883,10796.0748,2.029337,2.114208
2015-01-14,treino,5113.2998,11438.3400,10979.1692,2.147179,2.236978
2015-01-15,treino,4867.5000,10901.7084,10464.0796,2.149785,2.239694
2015-01-16,treino,4960.8999,10785.6984,10352.7267,2.086865,2.174142
2015-01-17,treino,4315.7998,10552.4794,10128.8698,2.346928,2.445081
2015-01-18,treino,3712.8999,9870.2422,9474.0197,2.551650,2.658365
2015-01-19,treino,4205.7002,10731.1510,10300.3690,2.449145,2.551573
2015-01-20,treino,4905.0000,11229.7048,10778.9092,2.197535,2.289440
2015-01-21,treino,4876.7002,10730.3837,10299.6325,2.112009,2.200337
2015-01-22,treino,4599.2002,10534.2187,10111.3421,2.198500,2.290446
2015-01-23,treino,4800.7998,10678.0699,10249.4187,2.134940,2.224227
2015-01-24,treino,4122.5000,9613.4347,9227.5213,2.238331,2.331943
2015-01-25,treino,3142.0000,9556.3616,9172.7393,2.919395,3.041490
2015-01-26,treino,3210.1001,10611.8312,10185.8390,3.173060,3.305763
2015-01-27,treino,3624.3999,11089.2138,10644.0580,2.936778,3.059600
2015-01-28,treino,3793.3000,11114.3663,10668.2008,2.812380,2.929999
2015-01-29,treino,4295.5000,10549.0878,10125.6143,2.357261,2.455846
2015-01-30,treino,4866.7002,10626.3113,10199.7378,2.095822,2.183474
2015-01-31,treino,4830.3999,9303.1381,8929.6810,1.848642,1.925956
2015-02-01,treino,3760.2000,9712.2575,9322.3770,2.479224,2.582910
2015-02-02,treino,3215.3000,11227.6948,10776.9799,3.351780,3.491959
2015-02-03,treino,3728.1001,10433.5074,10014.6737,2.686267,2.798612
2015-02-04,treino,3659.0000,10476.4432,10055.8859,2.748261,2.863198
2015-02-05,treino,3953.1001,10335.9825,9921.0638,2.509692,2.614652
2015-02-06,treino,3800.3000,10058.3752,9654.6005,2.540484,2.646732
2015-02-07,treino,3398.0000,8961.9065,8602.1475,2.531533,2.637406
2015-02-08,treino,2873.7000,9309.7398,8936.0177,3.109586,3.239635
2015-02-09,treino,2970.7000,10393.4276,9976.2028,3.358199,3.498646
2015-02-10,treino,3136.5000,10378.9336,9962.2907,3.176244,3.309081
2015-02-11,treino,3276.8999,10124.2110,9717.7934,2.965545,3.089570
2015-02-12,treino,3401.3000,10332.7177,9917.9301,2.915923,3.037873
2015-02-13,treino,3751.1001,10275.8098,9863.3066,2.629444,2.739412
2015-02-14,treino,3660.3000,9287.4666,8914.6386,2.435494,2.537351
2015-02-15,treino,3251.7000,8381.9879,8045.5087,2.474247,2.577725
2015-02-16,treino,2944.5000,8859.7775,8504.1182,2.888137,3.008924
2015-02-17,treino,3115.6001,8830.0607,8475.5944,2.720373,2.834144
2015-02-18,treino,3164.7000,9430.1131,9051.5588,2.860163,2.979781
2015-02-19,treino,3382.8000,9784.3561,9391.5814,2.776274,2.892384
2015-02-20,treino,3525.7000,10134.8182,9727.9748,2.759161,2.874555
2015-02-21,treino,3745.2000,9159.4178,8791.7300,2.347466,2.445642
2015-02-22,treino,3020.0000,9681.5668,9292.9184,3.077125,3.205817
2015-02-23,treino,2940.8000,11261.3762,10809.3093,3.675636,3.829358
2015-02-24,treino,5133.7002,10880.0835,10443.3229,2.034268,2.119345
2015-02-25,treino,8304.2002,11583.3189,11118.3282,1.338880,1.394875
2015-02-26,treino,8035.3999,11590.7062,11125.4189,1.384551,1.442455
2015-02-27,treino,8019.7998,11525.8338,11063.1507,1.379480,1.437172
2015-02-28,treino,7334.6001,10106.2821,9700.5842,1.322578,1.377891
2015-03-01,treino,6198.7998,9847.8692,9452.5449,1.524899,1.588674
2015-03-02,treino,5955.0000,11140.6101,10693.3911,1.795700,1.870799
2015-03-03,treino,7175.7998,11794.4610,11320.9943,1.577663,1.643644
2015-03-04,treino,7413.2998,12124.5976,11637.8783,1.569865,1.635520
2015-03-05,treino,7646.8999,11821.5069,11346.9546,1.483863,1.545921
2015-03-06,treino,7677.2998,11564.8528,11100.6034,1.445899,1.506370
2015-03-07,treino,6652.2998,10501.7191,10080.1472,1.515288,1.578660
2015-03-08,treino,6039.2002,9751.2533,9359.8074,1.549842,1.614660
2015-03-09,treino,6557.1001,11088.5338,10643.4053,1.623188,1.691073
2015-03-10,treino,7900.0000,11524.5699,11061.9375,1.400245,1.458806
2015-03-11,treino,7911.5000,11237.7298,10786.6121,1.363409,1.420430
2015-03-12,treino,7561.8999,11143.1963,10695.8735,1.414443,1.473597
2015-03-13,treino,8512.5000,11237.3488,10786.2464,1.267107,1.320100
