modelo,formulacao,grupo_features,feature,peso
ridge_absoluto,absoluto,hidro_lag1_basico,intercepto,0.2719576985
ridge_absoluto,absoluto,hidro_lag1_basico,mes_sin,-0.1024904421
ridge_absoluto,absoluto,hidro_lag1_basico,mes_cos,0.0639334671
ridge_absoluto,absoluto,hidro_lag1_basico,q_lag1,0.7715342566
ridge_absoluto,absoluto,hidro_lag1_basico,ena_lag1,0.4453476347
ridge_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,intercepto,-0.1320567440
ridge_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,mes_sin,-0.1540366382
ridge_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,mes_cos,-0.1387947235
ridge_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,q_lag1,0.7770568246
ridge_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,ena_lag1,0.4332473281
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,intercepto,0.0146656300
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,mes_sin,-0.0140326247
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,mes_cos,0.0013905085
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,q_lag1,-0.0919667850
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,ena_lag1,0.0585865856
ridge_absoluto,absoluto,hidro_lags_medias_30d,intercepto,0.1125488473
ridge_absoluto,absoluto,hidro_lags_medias_30d,mes_sin,-0.1420336545
ridge_absoluto,absoluto,hidro_lags_medias_30d,mes_cos,0.0578448850
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_lag1,0.1016698422
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_lag2,-0.1652903044
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_lag3,-0.1838437131
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_lag7,0.0366300972
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_lag14,0.3183559859
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_lag30,0.1721204663
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_ma3,-0.0850985680
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_ma7,0.9585018967
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_ma14,-0.4695247971
ridge_absoluto,absoluto,hidro_lags_medias_30d,q_ma30,0.3467009574
ridge_absoluto,absoluto,hidro_lags_medias_30d,dq_lag1,0.1952713550
ridge_absoluto,absoluto,hidro_lags_medias_30d,dq_lag7,0.0419096029
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_lag1,0.0692705786
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_lag2,0.0623415620
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_lag3,0.2628786168
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_lag7,0.0901956399
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_lag14,-0.2609167632
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_lag30,-0.0183703587
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_ma3,0.1323865679
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_ma7,-0.4937912682
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_ma14,0.0340140566
ridge_absoluto,absoluto,hidro_lags_medias_30d,ena_ma30,0.4077344808
ridge_absoluto,absoluto,hidro_lags_medias_30d,dena_lag1,0.0499743088
ridge_absoluto,absoluto,hidro_lags_medias_30d,dena_lag7,-0.0378484892
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,intercepto,-0.2858164118
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,mes_sin,-0.1913581128
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,mes_cos,-0.1442974947
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_lag1,0.1074861928
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_lag2,-0.1629524419
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_lag3,-0.1816331396
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_lag7,0.0397756284
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_lag14,0.3287821669
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_lag30,0.1697521519
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_ma3,-0.0815343006
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_ma7,0.9701080130
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_ma14,-0.4611896180
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,q_ma30,0.3148650486
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,dq_lag1,0.1978157388
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,dq_lag7,0.0436305957
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_lag1,0.0681245480
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_lag2,0.0619150838
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_lag3,0.2857946155
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_lag7,0.0971657355
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_lag14,-0.2750517437
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_lag30,-0.0070488312
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_ma3,0.1395491979
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_ma7,-0.5092834263
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_ma14,0.0321836694
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,ena_ma30,0.3850340540
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,dena_lag1,0.0447846639
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,dena_lag7,-0.0525286427
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,intercepto,0.0191704993
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,mes_sin,-0.0084718659
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,mes_cos,-0.0020499973
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_lag1,-0.2412159744
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_lag2,-0.1215178526
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_lag3,-0.0912740124
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_lag7,-0.2671723594
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_lag14,-0.0266520250
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_lag30,-0.0305772721
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_ma3,-0.1561252934
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_ma7,0.7002091390
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_ma14,0.0499189385
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,q_ma30,0.0231457092
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,dq_lag1,-0.0875546960
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,dq_lag7,0.0167254926
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_lag1,0.0997971163
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_lag2,0.0875732510
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_lag3,0.2074272919
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_lag7,0.1344177789
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_lag14,-0.0158645913
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_lag30,-0.0059220519
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_ma3,0.1324895606
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_ma7,-0.6233143726
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_ma14,-0.0091203594
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,ena_ma30,0.0270155486
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,dena_lag1,0.0881624687
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,dena_lag7,-0.0626205943
ridge_absoluto,absoluto,operacional_lags_com_geracao,intercepto,-0.1287024767
ridge_absoluto,absoluto,operacional_lags_com_geracao,mes_sin,-0.0165872517
ridge_absoluto,absoluto,operacional_lags_com_geracao,mes_cos,-0.0043497810
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_lag1,-0.1371809759
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_lag2,-0.0386416488
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_lag3,-0.0860855063
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_lag7,-0.1725560535
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_lag14,0.0252310986
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_lag30,0.0441631235
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_ma3,-0.0900655898
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_ma7,0.4115281894
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_ma14,0.0984272487
ridge_absoluto,absoluto,operacional_lags_com_geracao,q_ma30,-0.0676616114
ridge_absoluto,absoluto,operacional_lags_com_geracao,dq_lag1,-0.0720778295
