modelo,formulacao,grupo_features,periodo,n,rmse_mwmed,mae_mwmed,r2,bias_mwmed,tempo_treino_s,observacao
persistencia_dia_anterior,baseline,nao_aplica,treino_2015_2022,2889,689.38,521.52,0.8855,0.76,0.000000,P_t = P_{t-1}
persistencia_dia_anterior,baseline,nao_aplica,teste_2023_2024,731,590.44,464.56,0.8789,-0.94,0.000000,P_t = P_{t-1}
persistencia_delta_mensal,residuo_sobre_persistencia,nao_aplica,treino_2015_2022,2889,688.78,521.08,0.8857,0.00,0.000000,P_t = P_{t-1} + media_treino(P_t-P_{t-1}|mes)
persistencia_delta_mensal,residuo_sobre_persistencia,nao_aplica,teste_2023_2024,731,590.39,464.00,0.8789,-1.13,0.000000,P_t = P_{t-1} + media_treino(P_t-P_{t-1}|mes)
media_mensal_historica,anomalia_mensal,nao_aplica,treino_2015_2022,2889,1894.51,1565.67,0.1351,-0.00,0.000000,media mensal ajustada somente no treino
media_mensal_historica,anomalia_mensal,nao_aplica,teste_2023_2024,731,1854.05,1540.63,-0.1944,1049.74,0.000000,media mensal ajustada somente no treino
ridge_absoluto,absoluto,hidro_lag1_basico,treino_2015_2022,2889,1524.48,1239.50,0.4400,-18.50,0.000000,regressao linear ridge sobre features normalizadas
ridge_absoluto,absoluto,hidro_lag1_basico,teste_2023_2024,731,1705.77,1389.41,-0.0110,919.29,0.000000,regressao linear ridge sobre features normalizadas
rf_absoluto,absoluto,hidro_lag1_basico,treino_2015_2022,2889,931.53,717.55,0.7909,2.74,0.060107,Random Forest implementada em Rust
rf_absoluto,absoluto,hidro_lag1_basico,teste_2023_2024,731,1521.45,1176.97,0.1957,740.83,0.060107,Random Forest implementada em Rust
mlp_absoluto,absoluto,hidro_lag1_basico,treino_2015_2022,2889,1106.61,868.17,0.7049,0.92,2.534350,MLP janela temporal simples; epocas=1200; sem variaveis futuras
mlp_absoluto,absoluto,hidro_lag1_basico,teste_2023_2024,731,1549.67,1196.18,0.1655,693.96,2.534350,MLP janela temporal simples; epocas=1200; sem variaveis futuras
ridge_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,treino_2015_2022,2889,1502.35,1221.45,0.4561,-17.53,0.000000,regressao linear ridge sobre features normalizadas
ridge_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,teste_2023_2024,731,1775.58,1459.37,-0.0955,913.21,0.000000,regressao linear ridge sobre features normalizadas
rf_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,treino_2015_2022,2889,944.33,730.88,0.7851,0.37,0.055169,Random Forest implementada em Rust
rf_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,teste_2023_2024,731,1540.66,1188.23,0.1752,758.70,0.055169,Random Forest implementada em Rust
mlp_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,treino_2015_2022,2889,1142.30,896.17,0.6856,0.34,2.483827,MLP janela temporal simples; epocas=1200; sem variaveis futuras
mlp_anomalia_mensal,anomalia_mensal,hidro_lag1_basico,teste_2023_2024,731,1519.52,1185.19,0.1977,647.92,2.483827,MLP janela temporal simples; epocas=1200; sem variaveis futuras
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,treino_2015_2022,2889,684.68,518.78,0.8870,-0.00,0.000000,regressao linear ridge sobre features normalizadas
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,teste_2023_2024,731,588.75,462.70,0.8796,-9.87,0.000000,regressao linear ridge sobre features normalizadas
rf_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,treino_2015_2022,2889,636.01,483.38,0.9025,-2.50,0.053561,Random Forest implementada em Rust
rf_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,teste_2023_2024,731,590.85,462.88,0.8787,-12.28,0.053561,Random Forest implementada em Rust
mlp_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,treino_2015_2022,2889,684.32,518.66,0.8872,-0.02,2.485808,MLP janela temporal simples; epocas=1200; sem variaveis futuras
mlp_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lag1_basico,teste_2023_2024,731,587.87,463.01,0.8799,-4.61,2.485808,MLP janela temporal simples; epocas=1200; sem variaveis futuras
ridge_absoluto,absoluto,hidro_lags_medias_30d,treino_2015_2022,2889,1384.52,1122.52,0.5381,-10.06,0.000000,regressao linear ridge sobre features normalizadas
ridge_absoluto,absoluto,hidro_lags_medias_30d,teste_2023_2024,731,1589.10,1288.05,0.1225,899.63,0.000000,regressao linear ridge sobre features normalizadas
rf_absoluto,absoluto,hidro_lags_medias_30d,treino_2015_2022,2889,732.98,572.59,0.8705,-2.56,0.170531,Random Forest implementada em Rust
rf_absoluto,absoluto,hidro_lags_medias_30d,teste_2023_2024,731,1335.07,1032.71,0.3807,670.03,0.170531,Random Forest implementada em Rust
mlp_absoluto,absoluto,hidro_lags_medias_30d,treino_2015_2022,2889,949.10,742.30,0.7829,-0.29,5.291350,MLP janela temporal simples; epocas=1200; sem variaveis futuras
mlp_absoluto,absoluto,hidro_lags_medias_30d,teste_2023_2024,731,1445.60,1133.72,0.2739,607.04,5.291350,MLP janela temporal simples; epocas=1200; sem variaveis futuras
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,treino_2015_2022,2889,1367.28,1114.70,0.5495,-9.79,0.000000,regressao linear ridge sobre features normalizadas
ridge_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,teste_2023_2024,731,1660.08,1350.62,0.0424,893.71,0.000000,regressao linear ridge sobre features normalizadas
rf_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,treino_2015_2022,2889,756.37,596.83,0.8621,0.91,0.173819,Random Forest implementada em Rust
rf_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,teste_2023_2024,731,1446.21,1134.72,0.2732,781.53,0.173819,Random Forest implementada em Rust
mlp_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,treino_2015_2022,2889,947.46,736.94,0.7837,-0.36,5.462725,MLP janela temporal simples; epocas=1200; sem variaveis futuras
mlp_anomalia_mensal,anomalia_mensal,hidro_lags_medias_30d,teste_2023_2024,731,1445.93,1141.80,0.2735,629.66,5.462725,MLP janela temporal simples; epocas=1200; sem variaveis futuras
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,treino_2015_2022,2889,665.62,504.94,0.8932,-0.06,0.000000,regressao linear ridge sobre features normalizadas
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,teste_2023_2024,731,580.10,454.35,0.8831,-5.12,0.000000,regressao linear ridge sobre features normalizadas
rf_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,treino_2015_2022,2889,581.01,440.34,0.9187,-5.13,0.179202,Random Forest implementada em Rust
rf_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,teste_2023_2024,731,587.09,462.79,0.8802,4.48,0.179202,Random Forest implementada em Rust
mlp_residuo_sobre_persistencia,residuo_sobre_persistencia,hidro_lags_medias_30d,treino_2015_2022,2889,663.14,503.23,0.8940,-0.10,5.364577,MLP janela temporal simples; epocas=1200; sem variaveis futuras
