epoca,loss_total,loss_dados,loss_fisica,loss_contorno
0,0.33712293014932604,0.33712293014932604,0,0
1,0.191379270526655,0.191379270526655,0,0
2,0.08987633794063067,0.08987633794063067,0,0
3,0.03764518215115082,0.03764518215115082,0,0
4,0.03642953564624617,0.03642953564624617,0,0
5,0.06750196848850815,0.06750196848850815,0,0
6,0.09105770028355219,0.09105770028355219,0,0
7,0.0904233352243324,0.0904233352243324,0,0
8,0.0735674079631545,0.0735674079631545,0,0
9,0.053131948975819354,0.053131948975819354,0,0
10,0.037710948391539253,0.037710948391539253,0,0
11,0.030483313485816132,0.030483313485816132,0,0
12,0.03056707785660071,0.03056707785660071,0,0
13,0.0350819031135048,0.0350819031135048,0,0
14,0.04089161076360646,0.04089161076360646,0,0
15,0.04560941323548973,0.04560941323548973,0,0
16,0.047926226867259274,0.047926226867259274,0,0
17,0.047526277570450574,0.047526277570450574,0,0
18,0.044831397337036234,0.044831397337036234,0,0
19,0.04071436989974373,0.04071436989974373,0,0
20,0.03623479160739295,0.03623479160739295,0,0
21,0.032404201783914836,0.032404201783914836,0,0
22,0.029977353148418557,0.029977353148418557,0,0
23,0.029283366793395077,0.029283366793395077,0,0
24,0.030139915215862616,0.030139915215862616,0,0
25,0.03190940056494637,0.03190940056494637,0,0
26,0.03372341504265237,0.03372341504265237,0,0
27,0.03481214732116925,0.03481214732116925,0,0
28,0.03478876230098607,0.03478876230098607,0,0
29,0.033746721201399335,0.033746721201399335,0,0
30,0.03214080628427951,0.03214080628427951,0,0
31,0.03054405483608399,0.03054405483608399,0,0
32,0.029413594880914704,0.029413594880914704,0,0
33,0.028957217935063444,0.028957217935063444,0,0
34,0.029122112205735393,0.029122112205735393,0,0
35,0.02967337644615996,0.02967337644615996,0,0
36,0.030309359079355034,0.030309359079355034,0,0
37,0.030767512433854387,0.030767512433854387,0,0
38,0.030893534074359567,0.030893534074359567,0,0
39,0.030665468572198904,0.030665468572198904,0,0
40,0.030177340679527136,0.030177340679527136,0,0
41,0.029593773328673884,0.029593773328673884,0,0
42,0.029090352107816218,0.029090352107816218,0,0
43,0.028796165177144138,0.028796165177144138,0,0
44,0.028754884770248085,0.028754884770248085,0,0
45,0.028917001139197776,0.028917001139197776,0,0
46,0.029166511739343284,0.029166511739343284,0,0
47,0.0293718721293595,0.0293718721293595,0,0
48,0.029439489269308994,0.029439489269308994,0,0
49,0.029346290317515983,0.029346290317515983,0,0
50,0.029138653253210516,0.029138653253210516,0,0
51,0.028902215780415387,0.028902215780415387,0,0
52,0.02872024904277279,0.02872024904277279,0,0
53,0.02864052987638947,0.02864052987638947,0,0
54,0.028662918676726996,0.028662918676726996,0,0
55,0.02874839789299646,0.02874839789299646,0,0
56,0.02884146400037089,0.02884146400037089,0,0
57,0.028894505966950722,0.028894505966950722,0,0
58,0.028884673184922213,0.028884673184922213,0,0
59,0.028818453148435477,0.028818453148435477,0,0
