data,geracao_real_mwmed,persistencia_mwmed,mlp_absoluto_hidro_longo_mwmed,mlp_anomalia_mensal_hidro_longo_mwmed,ridge_residual_hidro_longo_mwmed,rf_residual_hidro_longo_mwmed,mlp_residual_hidro_longo_mwmed
2023-01-01,6760.0018,7111.5928,8538.7873,8606.3827,7162.3152,7143.8382,7159.7208
2023-01-02,7105.1859,6760.0018,8500.2460,8537.0752,6882.9674,6773.9419,6897.1661
2023-01-03,7379.9692,7105.1859,8621.0372,8709.6670,7242.7424,7154.8181,7255.8918
2023-01-04,7292.2336,7379.9692,8837.0697,9013.4683,7457.5223,7403.3235,7470.4753
2023-01-05,7197.7195,7292.2336,8843.1642,9002.9296,7344.6299,7263.1834,7358.0954
2023-01-06,7182.5952,7197.7195,8749.0895,8878.5726,7257.3669,7197.7253,7275.7060
2023-01-07,6579.3067,7182.5952,9100.5916,9513.0762,7138.5763,7196.8528,7150.2164
2023-01-08,6451.8425,6579.3067,9213.8065,9507.3111,6574.3096,6493.1295,6569.6524
2023-01-09,7679.5542,6451.8425,8878.1005,8854.1548,6641.2648,6857.9745,6644.6770
2023-01-10,8492.5959,7679.5542,8991.8367,9120.1704,7948.7819,8034.9273,7962.6741
2023-01-11,9316.2531,8492.5959,9750.5965,10295.6992,8692.4377,8535.0517,8685.3976
2023-01-12,9643.5139,9316.2531,10137.0657,10532.1629,9373.2223,9167.4854,9333.2152
2023-01-13,9227.6545,9643.5139,10251.6547,10383.2828,9489.8516,9468.9197,9464.3374
2023-01-14,8429.0840,9227.6545,10548.1822,10746.5888,8905.2101,9092.2547,8914.2820
2023-01-15,7416.0432,8429.0840,9827.1360,9770.2138,8511.7298,8412.1389,8472.3933
2023-01-16,8826.4835,7416.0432,9559.6676,9308.6141,7879.4758,7763.0671,7788.3198
2023-01-17,9247.3110,8826.4835,9975.9649,9752.4051,9362.9815,9295.3750,9262.9970
2023-01-18,9497.5718,9247.3110,10867.1783,10852.9542,9409.1651,9291.3301,9373.8833
2023-01-19,9659.1881,9497.5718,10320.2563,9970.6296,9573.6327,9424.7256,9547.9399
2023-01-20,9373.0630,9659.1881,10714.2254,10429.7798,9230.2680,9478.7878,9324.0901
2023-01-21,9280.9149,9373.0630,10982.0292,10460.3562,8845.0979,9094.1955,8972.1955
2023-01-22,7983.5209,9280.9149,10887.0358,10048.0139,8921.9762,8973.5758,9052.1670
2023-01-23,8942.0415,7983.5209,11005.8483,10063.5691,7834.3138,7713.5909,7948.6759
2023-01-24,9625.4896,8942.0415,11085.0629,10414.2265,8751.1110,8711.8708,8856.7878
2023-01-25,9899.2051,9625.4896,11279.5656,10639.8239,9616.0890,9456.0476,9684.8495
2023-01-26,10074.8433,9899.2051,11202.5584,10738.5440,9957.4030,9815.0483,9997.4640
2023-01-27,9649.6287,10074.8433,11361.8281,11075.8305,9998.4532,9934.4130,10042.4879
2023-01-28,8897.9009,9649.6287,11102.2167,10888.5820,9630.0776,9591.2176,9696.9288
2023-01-29,7914.7246,8897.9009,10769.3619,10658.1948,8971.4406,8892.5952,9082.4921
2023-01-30,8708.2722,7914.7246,10615.7192,10578.5886,8060.3431,7875.0388,8185.1156
2023-01-31,9367.8266,8708.2722,10796.6356,10853.5541,8841.5184,8534.0517,8938.3645
2023-02-01,9924.8292,9367.8266,10858.8554,10964.3959,9576.3870,9503.7021,9660.1447
2023-02-02,10212.0061,9924.8292,10767.0853,11044.1066,10134.6079,9964.0678,10199.4805
2023-02-03,9787.1580,10212.0061,10862.1490,11213.0601,10444.2730,10538.1294,10500.3006
2023-02-04,8870.3276,9787.1580,11097.4291,11475.0828,9961.7314,9769.4673,9994.0428
2023-02-05,7903.6720,8870.3276,11045.4691,11408.4138,8979.3357,8802.2720,9011.4360
2023-02-06,10183.0135,7903.6720,11127.4000,11565.9344,7797.4838,7789.6089,7846.9333
2023-02-07,10515.0583,10183.0135,11068.0976,11455.4301,10010.2631,10118.9220,10058.3658
2023-02-08,10374.3640,10515.0583,10922.4062,11257.1567,10340.6233,10330.6092,10371.0472
2023-02-09,10289.2228,10374.3640,11027.2357,11502.9135,10235.8624,10121.6723,10225.2651
2023-02-10,9814.4699,10289.2228,11098.5817,11638.4054,10122.3801,10098.3934,10111.0851
2023-02-11,9338.1781,9814.4699,11096.7462,11667.6252,9720.7951,9646.0021,9698.2893
2023-02-12,8477.8317,9338.1781,11243.7466,11870.6551,9281.7027,9175.7008,9264.3388
2023-02-13,10141.8810,8477.8317,11173.8736,11791.1332,8458.5086,8400.0846,8455.4217
2023-02-14,10658.5365,10141.8810,11047.4263,11597.3160,10159.7452,10056.2269,10174.3625
2023-02-15,10371.0732,10658.5365,11259.0130,11754.1717,10507.9599,10548.8088,10553.7205
2023-02-16,10690.5134,10371.0732,11464.6770,11916.3038,10013.3124,10132.3176,10101.6338
2023-02-17,9738.6896,10690.5134,11415.7853,11788.3808,10249.9225,10477.5343,10351.3975
2023-02-18,9082.9371,9738.6896,11166.6967,11635.4671,9426.8608,9586.2562,9541.1178
2023-02-19,7970.7776,9082.9371,11441.3325,11939.9562,8893.8726,8920.5989,8987.1214
2023-02-20,9532.9337,7970.7776,11419.7074,11977.1524,8163.5462,8204.9273,8167.5275
2023-02-21,8724.1881,9532.9337,11672.3166,12205.7654,9776.1779,9514.2760,9772.1747
2023-02-22,10246.3060,8724.1881,11980.5010,12377.5386,8806.9310,8552.8085,8826.4752
2023-02-23,10038.3953,10246.3060,11801.7780,12225.6270,10248.0742,10210.8831,10287.8743
2023-02-24,9962.6525,10038.3953,11797.0082,12182.7254,9957.2819,9958.6271,10013.5344
2023-02-25,9294.4104,9962.6525,11731.6990,12108.0966,9884.8724,9894.2513,9922.0844
2023-02-26,8105.9430,9294.4104,11753.5101,12053.8747,9259.1828,9201.6738,9270.9862
2023-02-27,9494.1686,8105.9430,11948.9788,12036.0969,7928.1616,7973.7388,7947.2738
2023-02-28,10301.2859,9494.1686,11936.3193,11925.6350,9175.5515,9365.4331,9208.3374
2023-03-01,10720.0565,10301.2859,11892.3226,11705.8222,10022.2372,10254.4431,10054.5191
2023-03-02,10647.2709,10720.0565,12020.5440,11865.3740,10622.9054,10879.8740,10639.1360
2023-03-03,10471.4747,10647.2709,11780.9223,11791.8508,10981.6722,10837.1244,10962.8897
2023-03-04,9555.7612,10471.4747,11758.7873,11876.9330,11061.5211,10695.7049,10999.4488
2023-03-05,9410.9719,9555.7612,11811.9980,11950.8151,10062.9800,9645.6459,10009.2724
2023-03-06,10998.5310,9410.9719,11465.8346,11691.4961,9834.3106,9708.3725,9772.0055
2023-03-07,11130.8907,10998.5310,11555.8617,11789.6836,11332.1818,11332.2818,11295.3127
2023-03-08,11081.4015,11130.8907,11814.5847,11961.8448,11237.3303,11251.0550,11238.7637
2023-03-09,10676.8452,11081.4015,11836.1013,11958.2596,11099.2931,11053.8246,11122.6973
2023-03-10,10684.9766,10676.8452,11646.8136,11814.6393,10680.5228,10589.9955,10713.1475
2023-03-11,9446.0521,10684.9766,11607.7418,11841.6094,10573.3230,10724.7798,10625.6362
