lambda_fisica,seed,rmse_validacao_mwmed,loss_fisica_treino,joelho_saturacao_m3s,elegivel
0.2,7,1540.97,0.028971,10662,true
0.2,17,1541.80,0.021820,10662,true
0.2,31,1541.37,0.030863,10662,true
0.2,43,1541.17,0.026176,10662,true
0.2,59,1541.49,0.026740,10662,true
0.2,73,1540.63,0.025171,10662,true
0.2,89,1541.57,0.026120,10662,true
0.2,101,1535.59,0.031670,10846,true
0.2,131,1535.37,0.022730,10662,true
0.2,151,1543.23,0.022528,10662,true
1,7,1536.58,0.016981,10662,true
1,17,1541.40,0.018479,10662,true
1,31,1768.19,0.041122,11768,true
1,43,1542.25,0.019466,10662,true
1,59,1542.51,0.017126,10662,true
1,73,1535.62,0.017024,10662,true
1,89,1541.33,0.017539,10662,true
1,101,1539.04,0.018563,10662,true
1,131,1536.31,0.017009,10662,true
1,151,1541.97,0.017750,10662,true
