modelo,ano_teste,n_treino,n_teste,rmse_mwmed,mae_mwmed,r2,tempo_treino_s
media_mensal_treino,2020,1823,366,2236.19,1964.57,-1.7952,0.000000
linear_com_plato,2020,1823,366,1927.02,1696.54,-1.0757,0.000005
persistencia_dia_anterior,2020,1823,366,531.57,415.69,0.8421,0.000000
persistencia_residual_mlp,2020,1823,366,521.34,405.78,0.8481,0.836465
mlp_multivariado,2020,1823,366,1480.34,1180.71,-0.2249,0.842062
pinn_multivariada,2020,1823,366,1542.93,1225.70,-0.3307,3.790889
rf_multivariada,2020,1823,366,1446.64,1141.57,-0.1698,0.035039
media_mensal_treino,2021,2189,365,3040.01,2786.16,-1.8033,0.000000
linear_com_plato,2021,2189,365,2377.05,2084.78,-0.7139,0.000006
persistencia_dia_anterior,2021,2189,365,579.74,444.69,0.8981,0.000000
persistencia_residual_mlp,2021,2189,365,588.44,448.49,0.8950,1.039404
mlp_multivariado,2021,2189,365,1506.14,1114.98,0.3119,1.051090
pinn_multivariada,2021,2189,365,1522.79,1240.69,0.2966,4.381202
rf_multivariada,2021,2189,365,2358.04,2078.26,-0.6866,0.041017
media_mensal_treino,2022,2554,365,2630.89,2208.78,-1.2145,0.000000
linear_com_plato,2022,2554,365,1806.51,1569.91,-0.0441,0.000006
persistencia_dia_anterior,2022,2554,365,702.92,577.89,0.8419,0.000000
persistencia_residual_mlp,2022,2554,365,701.12,577.49,0.8427,1.162907
mlp_multivariado,2022,2554,365,1794.48,1371.12,-0.0303,1.142688
pinn_multivariada,2022,2554,365,1690.48,1294.99,0.0857,4.984832
rf_multivariada,2022,2554,365,1952.21,1602.42,-0.2194,0.048764
media_mensal_treino,2023,2919,365,1180.71,926.98,0.1108,0.000000
linear_com_plato,2023,2919,365,1713.67,1267.01,-0.8732,0.000008
persistencia_dia_anterior,2023,2919,365,680.76,546.53,0.7044,0.000000
persistencia_residual_mlp,2023,2919,365,677.77,543.21,0.7070,1.352154
mlp_multivariado,2023,2919,365,1698.99,1370.79,-0.8412,1.423557
pinn_multivariada,2023,2919,365,1721.26,1338.54,-0.8898,6.299142
rf_multivariada,2023,2919,365,1610.21,1295.21,-0.6538,0.060735
media_mensal_treino,2024,3284,366,2333.17,2148.91,-1.3334,0.000000
linear_com_plato,2024,3284,366,1834.06,1643.22,-0.4418,0.000009
persistencia_dia_anterior,2024,3284,366,483.86,382.82,0.8996,0.000000
persistencia_residual_mlp,2024,3284,366,477.98,377.90,0.9021,1.577927
mlp_multivariado,2024,3284,366,1442.38,1077.82,0.1082,1.576320
pinn_multivariada,2024,3284,366,1466.37,1080.47,0.0783,6.622397
rf_multivariada,2024,3284,366,1403.98,1093.62,0.1551,0.064971
