ano_teste,modelo,formulacao,n_treino,n_teste,rmse_mwmed,mae_mwmed,r2,bias_mwmed,melhoria_rmse_vs_persistencia_pct,tempo_treino_s,observacao
2020,persistencia_dia_anterior,baseline,1793,366,531.57,415.69,0.8421,10.34,0.00,0.000000,P_t = P_{t-1}
2020,persistencia_delta_mensal,residuo_sobre_persistencia,1793,366,532.46,416.54,0.8415,11.64,-0.17,0.000000,P_t = P_{t-1} + media_treino(P_t-P_{t-1}|mes)
2020,ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,1793,366,485.61,389.22,0.8682,81.19,8.65,0.000000,ridge operacional com geracao passada e hidrologia defasada
2020,rf_residuo_sobre_persistencia,residuo_sobre_persistencia,1793,366,473.28,380.93,0.8748,94.24,10.97,0.102534,Random Forest residual operacional
2020,mlp_residuo_sobre_persistencia,residuo_sobre_persistencia,1793,366,478.42,380.46,0.8721,88.88,10.00,3.870438,MLP residual operacional; epocas=1200; sem variaveis futuras
2020,ridge_absoluto,absoluto,1793,366,485.65,389.24,0.8682,81.23,8.64,0.000000,ridge operacional prevendo P_t diretamente
2020,mlp_absoluto,absoluto,1793,366,513.37,410.87,0.8527,-8.64,3.42,3.871993,MLP operacional prevendo P_t; epocas=1200; sem variaveis futuras
2021,persistencia_dia_anterior,baseline,2159,365,579.74,444.69,0.8981,3.01,0.00,0.000000,P_t = P_{t-1}
2021,persistencia_delta_mensal,residuo_sobre_persistencia,2159,365,577.94,444.01,0.8987,2.34,0.31,0.000000,P_t = P_{t-1} + media_treino(P_t-P_{t-1}|mes)
2021,ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,2159,365,595.18,462.33,0.8925,61.47,-2.66,0.000000,ridge operacional com geracao passada e hidrologia defasada
2021,rf_residuo_sobre_persistencia,residuo_sobre_persistencia,2159,365,560.50,438.88,0.9047,103.45,3.32,0.127757,Random Forest residual operacional
2021,mlp_residuo_sobre_persistencia,residuo_sobre_persistencia,2159,365,568.88,447.06,0.9018,57.29,1.87,4.684291,MLP residual operacional; epocas=1200; sem variaveis futuras
2021,ridge_absoluto,absoluto,2159,365,595.25,462.41,0.8925,61.50,-2.68,0.000000,ridge operacional prevendo P_t diretamente
2021,mlp_absoluto,absoluto,2159,365,639.98,508.67,0.8758,-146.24,-10.39,4.619573,MLP operacional prevendo P_t; epocas=1200; sem variaveis futuras
2022,persistencia_dia_anterior,baseline,2524,365,702.92,577.89,0.8419,-4.71,0.00,0.000000,P_t = P_{t-1}
