data,geracao_mwmed,ena_bruta,ena_armazenavel,vazao
2000-01-01,8246.487500000001,12073.35839844,12073.35839844,
2000-01-02,8740.579166666666,12579.79980469,12579.79980469,
2000-01-03,9235.129166666668,13393.18164063,13393.18164063,
2000-01-04,10391.458333333334,14473.22851563,14473.22851563,
2000-01-05,10755.45,15750.31738281,15750.31738281,
2000-01-06,10715.604166666666,17224.03710938,17224.03710938,
2000-01-07,10026.895833333334,18835.70898438,18835.70898438,
2000-01-08,9175.579166666666,20634.36328125,20634.36328125,
2000-01-09,8507.1875,22455.38476563,22455.38476563,
2000-01-10,9233.9375,24218.12304688,24218.12304688,
2000-01-11,9670.7375,25431.02734375,25431.02734375,
2000-01-12,9375.75,26002.50390625,26002.50390625,
2000-01-13,9613.1,26040.89648438,26040.89648438,
2000-01-14,9542.7,25701.45117188,25701.45117188,
2000-01-15,9222.816666666668,25016.3046875,25016.3046875,
2000-01-16,8991.1875,24117.8359375,24117.8359375,
2000-01-17,9970.191666666668,23066.7734375,23066.7734375,
2000-01-18,10254.341666666667,21837.29882813,21837.29882813,
2000-01-19,10144.229166666666,20522.8515625,20522.8515625,
2000-01-20,9903.120833333332,19384.16992188,19384.16992188,
2000-01-21,9950.554166666669,18680.03515625,18680.03515625,
2000-01-22,9388.233333333334,18107.50976563,18107.50976563,
2000-01-23,8820.108333333334,17670.93164063,17670.93164063,
2000-01-24,9716.333333333334,17512.63085938,17512.63085938,
2000-01-25,9786.170833333334,17397.83203125,17397.83203125,
2000-01-26,9923.145833333334,16964.59765625,16964.59765625,
2000-01-27,9538.220833333333,16422.6953125,16422.6953125,
2000-01-28,9603.716666666667,15897.88671875,15897.88671875,
2000-01-29,9066.579166666666,15788.05371094,15788.05371094,
2000-01-30,8455.429166666667,15974.12597656,15974.12597656,
2000-01-31,9098.404166666667,16453.3671875,16453.3671875,
2000-02-01,9841.25,17056.19140625,17056.19140625,
2000-02-02,9766.641666666666,18081.06835938,18081.06835938,
2000-02-03,9721.516666666666,20237.69140625,20237.69140625,
2000-02-04,9636.5375,22009.2109375,21819.71875,
2000-02-05,8966.7125,22875.73632813,22875.73632813,
2000-02-06,8309.508333333333,23821.02148438,23821.02148438,
2000-02-07,9275.604166666666,24716.72851563,24716.72851563,
2000-02-08,9673.229166666666,24680.74804688,24680.74804688,
2000-02-09,9772.670833333334,24201.34375,24201.34375,
2000-02-10,9757.875,24166.4765625,24166.4765625,
2000-02-11,9848.495833333332,24735.13867188,24735.13867188,
2000-02-12,9036.195833333331,25410.0703125,25410.0703125,
2000-02-13,8683.9125,26314.78125,26314.78125,
2000-02-14,9285.1375,27436.57226563,27436.57226563,
2000-02-15,9986.1125,28435.703125,28435.703125,
2000-02-16,10019.633333333331,29762.46289063,29762.46289063,
2000-02-17,9888.533333333333,31741.12695313,31741.12695313,
2000-02-18,9794.05,33473.04296875,33473.04296875,
2000-02-19,9823.804166666669,34159.71484375,34159.71484375,
2000-02-20,9072.520833333334,34442.4375,34442.4375,
2000-02-21,9776.695833333331,33597.25,33597.25,
2000-02-22,10990.066666666666,31589.47265625,31589.47265625,
2000-02-23,11335.429166666669,29694.921875,29694.921875,
2000-02-24,11249.854166666666,28874.14648438,28874.14648438,
2000-02-25,10227.504166666668,28122.515625,28122.515625,
2000-02-26,9989.429166666669,26884.01367188,26884.01367188,
2000-02-27,9534.85,25371.7109375,25371.7109375,
2000-02-28,10545.425,23967.01953125,23967.01953125,
2000-02-29,10812.008333333331,23206.93164063,23206.93164063,
2000-03-01,11001.358333333332,22708.109375,22708.109375,
2000-03-02,11231.904166666667,23195.01171875,23195.01171875,
2000-03-03,10623.941666666668,23045.37109375,23045.37109375,
2000-03-04,10093.1875,23185.62695313,23185.62695313,
2000-03-05,9404.579166666666,23450.87890625,23450.87890625,
2000-03-06,10317.583333333334,23656.64453125,23656.64453125,
2000-03-07,10258.6125,23500.39257813,23500.39257813,
2000-03-08,10135.0,23290.484375,23290.484375,
2000-03-09,10977.254166666666,22847.32226563,22847.32226563,
2000-03-10,11140.966666666667,22550.20507813,22550.20507813,
2000-03-11,11229.016666666668,22215.67773438,22215.67773438,
2000-03-12,11284.683333333334,22188.18554688,22188.18554688,
2000-03-13,11428.741666666669,22539.72070313,22539.72070313,
2000-03-14,11278.733333333332,23094.1953125,23094.1953125,
2000-03-15,11603.766666666668,23879.17578125,23879.17578125,
2000-03-16,11646.8375,24563.75195313,24563.75195313,
2000-03-17,11346.6375,24965.41015625,24965.41015625,
2000-03-18,10343.329166666666,25119.9296875,25119.9296875,
2000-03-19,10082.041666666666,25491.12695313,25491.12695313,
2000-03-20,10858.445833333331,26306.96875,26306.96875,
2000-03-21,11193.483333333332,27109.95507813,26721.76953125,
2000-03-22,11019.8375,27642.13671875,26056.72851563,
2000-03-23,11170.7125,27832.45117188,26282.82421875,
2000-03-24,11296.895833333334,27675.890625,26103.48242188,
2000-03-25,10560.341666666667,27228.15820313,26044.984375,
2000-03-26,9975.6125,26655.08984375,26039.36328125,
2000-03-27,11033.2375,25958.98046875,25186.76953125,
2000-03-28,11422.8875,25190.20703125,23982.15820313,
2000-03-29,11408.404166666667,24458.94335938,23819.54492188,
2000-03-30,11581.9125,23856.8828125,23004.50390625,
2000-03-31,11286.783333333333,23109.00976563,22383.06640625,
2000-04-01,11145.291666666666,22498.921875,20831.703125,
2000-04-02,9150.629166666668,21855.59570313,17966.07617188,
2000-04-03,11116.291666666666,21321.70703125,20623.28320313,
2000-04-04,11796.3,20701.30664063,20701.30664063,
2000-04-05,11848.979166666666,20046.87890625,20046.87890625,
2000-04-06,12184.566666666666,19384.82617188,19384.82617188,
2000-04-07,12248.441666666666,18637.39257813,18637.39257813,
2000-04-08,11917.316666666666,17775.99804688,17775.99804688,
