data,vazao
2015-01-01,3871.300048828125
2015-01-02,3546.0
2015-01-03,3270.699951171875
2015-01-04,3094.300048828125
2015-01-05,3722.39990234375
2015-01-06,4574.7998046875
2015-01-07,4766.7001953125
2015-01-08,4980.0
2015-01-09,4893.0
2015-01-10,4539.2001953125
2015-01-11,4090.60009765625
2015-01-12,4355.89990234375
2015-01-13,5320.0
2015-01-14,5113.2998046875
2015-01-15,4867.5
2015-01-16,4960.89990234375
2015-01-17,4315.7998046875
2015-01-18,3712.89990234375
2015-01-19,4205.7001953125
2015-01-20,4905.0
2015-01-21,4876.7001953125
2015-01-22,4599.2001953125
2015-01-23,4800.7998046875
2015-01-24,4122.5
2015-01-25,3142.0
2015-01-26,3210.10009765625
2015-01-27,3624.39990234375
2015-01-28,3793.300048828125
2015-01-29,4295.5
2015-01-30,4866.7001953125
2015-01-31,4830.39990234375
2015-02-01,3760.199951171875
2015-02-02,3215.300048828125
2015-02-03,3728.10009765625
2015-02-04,3659.0
2015-02-05,3953.10009765625
2015-02-06,3800.300048828125
2015-02-07,3398.0
2015-02-08,2873.699951171875
2015-02-09,2970.699951171875
2015-02-10,3136.5
2015-02-11,3276.89990234375
2015-02-12,3401.300048828125
2015-02-13,3751.10009765625
2015-02-14,3660.300048828125
2015-02-15,3251.699951171875
2015-02-16,2944.5
2015-02-17,3115.60009765625
2015-02-18,3164.699951171875
2015-02-19,3382.800048828125
2015-02-20,3525.699951171875
2015-02-21,3745.199951171875
2015-02-22,3020.0
2015-02-23,2940.800048828125
2015-02-24,5133.7001953125
2015-02-25,8304.2001953125
2015-02-26,8035.39990234375
2015-02-27,8019.7998046875
2015-02-28,7334.60009765625
2015-03-01,6198.7998046875
2015-03-02,5955.0
2015-03-03,7175.7998046875
2015-03-04,7413.2998046875
2015-03-05,7646.89990234375
2015-03-06,7677.2998046875
2015-03-07,6652.2998046875
2015-03-08,6039.2001953125
2015-03-09,6557.10009765625
2015-03-10,7900.0
2015-03-11,7911.5
2015-03-12,7561.89990234375
2015-03-13,8512.5
2015-03-14,7911.2998046875
2015-03-15,7271.7001953125
2015-03-16,6865.60009765625
2015-03-17,6970.2001953125
2015-03-18,6673.2998046875
2015-03-19,7071.7001953125
2015-03-20,7168.10009765625
2015-03-21,6682.7001953125
2015-03-22,5890.0
2015-03-23,6490.0
2015-03-24,7402.10009765625
2015-03-25,7283.5
2015-03-26,7608.10009765625
2015-03-27,7528.10009765625
2015-03-28,7382.89990234375
2015-03-29,6132.5
2015-03-30,6495.7998046875
2015-03-31,8426.0
2015-04-01,7933.2998046875
2015-04-02,8102.10009765625
2015-04-03,6642.10009765625
2015-04-04,5805.0
2015-04-05,6264.2001953125
2015-04-06,6212.5
2015-04-07,7162.5
2015-04-08,7056.5
2015-04-09,6762.7001953125
2015-04-10,6375.7998046875
2015-04-11,5706.7001953125
2015-04-12,5264.2001953125
2015-04-13,6005.0
2015-04-14,5937.5
2015-04-15,6834.39990234375
2015-04-16,6933.5
2015-04-17,8469.7998046875
2015-04-18,7934.39990234375
2015-04-19,6307.89990234375
2015-04-20,6014.2001953125
2015-04-21,5955.0
2015-04-22,6275.7998046875
2015-04-23,6148.2998046875
2015-04-24,5892.5
2015-04-25,5990.7998046875
2015-04-26,5246.7001953125
2015-04-27,5402.5
2015-04-28,5710.7998046875
2015-04-29,5714.2001953125
2015-04-30,5616.7001953125
2015-05-01,5229.2001953125
2015-05-02,5154.2001953125
2015-05-03,5124.2001953125
2015-05-04,5415.7998046875
2015-05-05,6473.2998046875
2015-05-06,6177.5
2015-05-07,5703.2998046875
2015-05-08,5589.2001953125
2015-05-09,5419.2001953125
2015-05-10,5162.5
2015-05-11,5215.0
2015-05-12,5546.7001953125
2015-05-13,5737.5
2015-05-14,5798.2998046875
2015-05-15,6214.2001953125
2015-05-16,6134.2001953125
2015-05-17,5165.7998046875
2015-05-18,5174.2001953125
2015-05-19,5492.5
2015-05-20,5718.2998046875
2015-05-21,6165.0
2015-05-22,6397.5
2015-05-23,6007.5
2015-05-24,5498.89990234375
2015-05-25,5691.7001953125
2015-05-26,5618.2998046875
2015-05-27,5618.2998046875
2015-05-28,5338.2998046875
2015-05-29,5265.7998046875
2015-05-30,5185.0
2015-05-31,5133.2998046875
2015-06-01,5881.7001953125
2015-06-02,7029.2001953125
2015-06-03,6583.2998046875
2015-06-04,5594.2001953125
2015-06-05,5428.2998046875
2015-06-06,5386.7001953125
2015-06-07,5265.7998046875
2015-06-08,5637.5
2015-06-09,6214.2001953125
2015-06-10,5747.5
2015-06-11,5775.7998046875
2015-06-12,6063.2998046875
2015-06-13,5923.2998046875
2015-06-14,5265.0
2015-06-15,5200.0
2015-06-16,5179.2001953125
2015-06-17,5240.0
2015-06-18,5211.7001953125
2015-06-19,5339.2001953125
2015-06-20,4975.7998046875
2015-06-21,4835.0
2015-06-22,4959.0
2015-06-23,4945.0
2015-06-24,4825.7998046875
2015-06-25,4821.7001953125
2015-06-26,4925.7998046875
2015-06-27,4828.2998046875
2015-06-28,4800.7998046875
2015-06-29,4795.7998046875
2015-06-30,5011.7001953125
2015-07-01,5178.2998046875
2015-07-02,5170.7998046875
2015-07-03,5198.2998046875
2015-07-04,5063.2998046875
2015-07-05,5435.7998046875
2015-07-06,5286.7001953125
2015-07-07,4941.7001953125
2015-07-08,4770.0
2015-07-09,4845.7998046875
2015-07-10,4694.2001953125
2015-07-11,5103.2998046875
2015-07-12,5290.7998046875
2015-07-13,5094.2001953125
2015-07-14,4980.7998046875
2015-07-15,4915.0
2015-07-16,4740.7998046875
2015-07-17,4593.2998046875
2015-07-18,4248.2998046875
2015-07-19,4046.199951171875
2015-07-20,4265.7998046875
2015-07-21,4333.2998046875
2015-07-22,4320.0
2015-07-23,4263.5
2015-07-24,4554.2001953125
2015-07-25,4517.5
2015-07-26,4227.5
2015-07-27,4148.2998046875
2015-07-28,4497.5
2015-07-29,4521.7001953125
2015-07-30,4586.7001953125
2015-07-31,5062.5
2015-08-01,4867.2998046875
2015-08-02,4752.5
2015-08-03,4772.5
2015-08-04,4804.2001953125
2015-08-05,4708.2998046875
2015-08-06,4325.0
2015-08-07,4545.0
2015-08-08,4709.2001953125
