nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2013-01-01;386.00000000;56.06999969;253.00000000;36.75000000
ARAGUARI;2013-01-01;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2013-01-01;135.00000000;81.31999969;135.00000000;81.31999969
DOCE;2013-01-01;402.00000000;24.04999924;392.00000000;23.45000076
GRANDE;2013-01-01;4064.00000000;44.65999985;4063.00000000;44.65000153
IGUACU;2013-01-01;4277.00000000;111.13999939;4276.00000000;111.12000275
ITABAPOANA;2013-01-01;20.00000000;19.27000046;20.00000000;19.27000046
ITAJAI;2013-01-01;272.00000000;132.61999512;198.00000000;96.54000092
JACUI;2013-01-01;1213.00000000;213.53999329;1208.00000000;212.66000366
JEQUITINHONHA;2013-01-01;81.00000000;7.50000000;81.00000000;7.50000000
MUCURI;2013-01-01;11.00000000;13.94999981;11.00000000;13.94999981
PARAGUACU;2013-01-01;10.00000000;6.80999994;10.00000000;6.80999994
PARAGUAI;2013-01-01;418.00000000;65.19000244;393.00000000;61.29000092
PARAIBA DO SUL;2013-01-01;1014.00000000;80.25000000;1011.00000000;80.01000214
PARANA;2013-01-01;13947.00000000;61.59000015;13947.00000000;61.59000015
PARANAIBA;2013-01-01;2801.00000000;31.45000076;2801.00000000;31.45000076
PARANAPANEMA;2013-01-01;2465.00000000;100.33999634;2451.00000000;99.76999664
PARNAIBA;2013-01-01;143.00000000;59.75000000;29.00000000;12.11999989
SAO FRANCISCO;2013-01-01;4292.00000000;31.32999992;4292.00000000;31.32999992
TIETE;2013-01-01;3158.00000000;171.07000732;3066.00000000;166.08000183
TOCANTINS;2013-01-01;4628.00000000;32.79999924;4621.00000000;32.75000000
URUGUAI;2013-01-01;3006.00000000;125.76999664;2654.00000000;111.05000305
AMAZONAS;2013-01-02;377.00000000;54.75999832;302.00000000;43.86999893
ARAGUARI;2013-01-02;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2013-01-02;161.00000000;96.98000336;161.00000000;96.98000336
DOCE;2013-01-02;382.00000000;22.85000038;381.00000000;22.79000092
GRANDE;2013-01-02;4147.00000000;45.56999969;4145.00000000;45.54999924
IGUACU;2013-01-02;5024.00000000;130.55000305;5024.00000000;130.55000305
ITABAPOANA;2013-01-02;18.00000000;17.34000015;18.00000000;17.34000015
ITAJAI;2013-01-02;217.00000000;105.80000305;197.00000000;96.05000305
JACUI;2013-01-02;1018.00000000;179.21000671;1013.00000000;178.33000183
JEQUITINHONHA;2013-01-02;72.00000000;6.67000008;72.00000000;6.67000008
MUCURI;2013-01-02;10.00000000;12.68000031;10.00000000;12.68000031
PARAGUACU;2013-01-02;10.00000000;6.80999994;10.00000000;6.80999994
PARAGUAI;2013-01-02;412.00000000;64.26000214;387.00000000;60.36000061
PARAIBA DO SUL;2013-01-02;1059.00000000;83.80999756;1057.00000000;83.65000153
PARANA;2013-01-02;14311.00000000;63.20000076;14311.00000000;63.20000076
PARANAIBA;2013-01-02;2732.00000000;30.68000031;2732.00000000;30.68000031
PARANAPANEMA;2013-01-02;2606.00000000;106.08000183;2580.00000000;105.01999664
PARNAIBA;2013-01-02;153.00000000;63.93000031;40.00000000;16.70999908
SAO FRANCISCO;2013-01-02;4221.00000000;30.80999947;4221.00000000;30.80999947
TIETE;2013-01-02;3168.00000000;171.61000061;3119.00000000;168.94999695
TOCANTINS;2013-01-02;4550.00000000;32.24000168;4550.00000000;32.24000168
URUGUAI;2013-01-02;2706.00000000;113.22000122;2406.00000000;100.66999817
AMAZONAS;2013-01-03;380.00000000;55.20000076;319.00000000;46.34000015
ARAGUARI;2013-01-03;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2013-01-03;227.00000000;136.72999573;227.00000000;136.72999573
DOCE;2013-01-03;359.00000000;21.47999954;357.00000000;21.36000061
GRANDE;2013-01-03;4104.00000000;45.09999847;4104.00000000;45.09999847
IGUACU;2013-01-03;5509.00000000;143.16000366;5509.00000000;143.16000366
ITABAPOANA;2013-01-03;18.00000000;17.34000015;18.00000000;17.34000015
ITAJAI;2013-01-03;171.00000000;83.37999725;171.00000000;83.37999725
JACUI;2013-01-03;899.00000000;158.25999451;895.00000000;157.55999756
JEQUITINHONHA;2013-01-03;74.00000000;6.84999990;74.00000000;6.84999990
MUCURI;2013-01-03;9.00000000;11.40999985;9.00000000;11.40999985
PARAGUACU;2013-01-03;10.00000000;6.80999994;10.00000000;6.80999994
PARAGUAI;2013-01-03;407.00000000;63.47999954;382.00000000;59.58000183
PARAIBA DO SUL;2013-01-03;1149.00000000;90.93000031;1141.00000000;90.30000305
PARANA;2013-01-03;14530.00000000;64.16000366;14530.00000000;64.16000366
PARANAIBA;2013-01-03;2653.00000000;29.79000092;2651.00000000;29.77000046
PARANAPANEMA;2013-01-03;2722.00000000;110.80000305;2671.00000000;108.73000336
PARNAIBA;2013-01-03;157.00000000;65.59999847;44.00000000;18.38999939
SAO FRANCISCO;2013-01-03;4219.00000000;30.79999924;4219.00000000;30.79999924
TIETE;2013-01-03;3193.00000000;172.96000671;3101.00000000;167.97999573
TOCANTINS;2013-01-03;4464.00000000;31.62999916;4436.00000000;31.44000053
URUGUAI;2013-01-03;2403.00000000;100.54000092;2138.00000000;89.45999908
AMAZONAS;2013-01-04;394.00000000;57.22999954;334.00000000;48.52000046
ARAGUARI;2013-01-04;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2013-01-04;190.00000000;114.44000244;190.00000000;114.44000244
DOCE;2013-01-04;342.00000000;20.45999908;340.00000000;20.34000015
GRANDE;2013-01-04;4021.00000000;44.18999863;4021.00000000;44.18999863
IGUACU;2013-01-04;5367.00000000;139.47000122;5367.00000000;139.47000122
ITABAPOANA;2013-01-04;19.00000000;18.30999947;19.00000000;18.30999947
ITAJAI;2013-01-04;136.00000000;66.30999756;136.00000000;66.30999756
JACUI;2013-01-04;832.00000000;146.46000671;828.00000000;145.75999451
JEQUITINHONHA;2013-01-04;72.00000000;6.67000008;51.00000000;4.71999979
MUCURI;2013-01-04;7.00000000;8.88000011;7.00000000;8.88000011
