din_instante;val_itaipu_total;val_itaipu_60hz;val_itaipu_50hz;val_itaipu_50hz_br;val_itaipu_br;val_itaipu_py
2000-01-01 00:00:00;6055.9;1716.2;4339.7;3528.2;5244.4;811.5
2000-01-01 01:00:00;7247.1;2383.9;4863.200000000001;4094.9;6478.8;768.3000000000002
2000-01-01 02:00:00;8543.2;3216.9;5326.300000000001;4626.6;7843.5;699.7000000000007
2000-01-01 03:00:00;8894.9;3496.6;5398.299999999999;4716.5;8213.1;681.7999999999993
2000-01-01 04:00:00;8971.6;3611.7;5359.900000000001;4718.3;8330.0;641.6000000000004
2000-01-01 05:00:00;8786.4;3571.5;5214.9;4585.5;8157.0;629.3999999999996
2000-01-01 06:00:00;8146.6;3265.7;4880.900000000001;4268.1;7533.8;612.8000000000002
2000-01-01 07:00:00;7097.8;3031.3;4066.5;3535.5;6566.8;531.0
2000-01-01 08:00:00;7309.1;3461.1;3848.000000000001;3376.7;6837.799999999999;471.3000000000011
2000-01-01 09:00:00;7789.5;3501.3;4288.2;3823.1;7324.4;465.1000000000004
2000-01-01 10:00:00;7841.3;3477.1;4364.200000000001;3913.7;7390.799999999999;450.5000000000009
2000-01-01 11:00:00;7815.0;3442.1;4372.9;3911.7;7353.799999999999;461.2000000000007
2000-01-01 12:00:00;7827.3;3450.4;4376.9;3918.7;7369.1;458.1999999999998
2000-01-01 13:00:00;7183.7;3271.2;3912.5;3451.9;6723.1;460.59999999999945
2000-01-01 14:00:00;7193.4;3423.0;3770.4;3289.5;6712.5;480.8999999999997
2000-01-01 15:00:00;7644.1;3579.0;4065.1;3583.5;7162.5;481.6000000000004
2000-01-01 16:00:00;7959.4;3576.2;4383.2;3897.7;7473.9;485.5
2000-01-01 17:00:00;8186.5;3581.1;4605.4;4068.9;7650.0;536.5
2000-01-01 18:00:00;8200.6;3601.1;4599.5;4078.6;7679.7;520.9000000000005
2000-01-01 19:00:00;7963.6;3846.0;4117.6;3587.2;7433.2;530.4000000000005
2000-01-01 20:00:00;9593.8;4563.3;5030.499999999999;4449.3;9012.6;581.1999999999989
2000-01-01 21:00:00;10560.4;4818.3;5742.099999999999;4925.4;9743.7;816.6999999999989
2000-01-01 22:00:00;10596.1;4857.8;5738.3;4900.0;9757.8;838.3000000000011
2000-01-01 23:00:00;10508.4;4838.8;5669.599999999999;4881.3;9720.1;788.2999999999993
2000-01-02 00:00:00;10408.0;4790.6;5617.4;4888.3;9678.9;729.0999999999985
2000-01-02 01:00:00;9537.9;4440.1;5097.799999999999;4428.2;8868.3;669.6000000000004
2000-01-02 02:00:00;9332.2;4400.6;4931.6;4273.5;8674.1;658.1000000000004
2000-01-02 03:00:00;8970.3;4116.3;4853.999999999999;4221.0;8337.3;633.0
2000-01-02 04:00:00;8846.8;4094.3;4752.499999999999;4160.7;8255.0;591.7999999999993
2000-01-02 05:00:00;8616.9;4007.7;4609.2;4029.6;8037.299999999999;579.6000000000004
2000-01-02 06:00:00;7904.6;3899.3;4005.3;3451.0;7350.3;554.3000000000002
2000-01-02 07:00:00;7171.4;3537.5;3633.9;3146.4;6683.9;487.5
2000-01-02 08:00:00;7257.9;3580.6;3677.3;3206.1;6786.7;471.1999999999998
2000-01-02 09:00:00;7775.8;3599.7;4176.1;3687.2;7286.9;488.90000000000055
2000-01-02 10:00:00;7975.6;3777.1;4198.5;3709.4;7486.5;489.1000000000004
2000-01-02 11:00:00;8178.0;3781.6;4396.4;3895.4;7677.0;501.0
2000-01-02 12:00:00;8229.5;3791.9;4437.6;3915.1;7707.0;522.5
2000-01-02 13:00:00;8006.8;3626.4;4380.4;3854.5;7480.9;525.9000000000005
2000-01-02 14:00:00;7716.6;3600.0;4116.6;3560.7;7160.7;555.9000000000005
2000-01-02 15:00:00;7441.6;3470.5;3971.1;3409.7;6880.2;561.4000000000005
2000-01-02 16:00:00;7730.8;3315.4;4415.4;3961.4;7276.8;454.0
2000-01-02 17:00:00;7965.3;3315.7;4649.6;4126.5;7442.2;523.1000000000004
2000-01-02 18:00:00;8202.8;3320.1;4882.699999999999;4349.3;7669.4;533.3999999999996
2000-01-02 19:00:00;8679.6;3665.4;5014.200000000001;4454.2;8119.6;560.0
2000-01-02 20:00:00;10331.3;4727.1;5604.199999999999;5023.9;9751.0;580.2999999999993
2000-01-02 21:00:00;11118.5;5191.8;5926.7;5102.3;10294.1;824.3999999999996
2000-01-02 22:00:00;11224.3;5048.5;6175.799999999999;5298.6;10347.1;877.1999999999989
2000-01-02 23:00:00;11151.4;5011.8;6139.599999999999;5280.2;10292.0;859.3999999999996
2000-01-03 00:00:00;10561.0;4861.4;5699.6;4926.2;9787.6;773.4000000000015
2000-01-03 01:00:00;9462.9;4400.2;5062.7;4364.4;8764.599999999999;698.3000000000011
2000-01-03 02:00:00;8578.4;4041.1;4537.299999999999;3949.6;7990.7;587.6999999999998
2000-01-03 03:00:00;8001.2;2719.8;5281.4;4756.4;7476.2;525.0
2000-01-03 04:00:00;8036.3;3257.2;4779.1;4141.0;7398.2;638.1000000000004
2000-01-03 05:00:00;7749.3;3969.2;3780.1;3172.4;7141.6;607.6999999999998
2000-01-03 06:00:00;7922.0;4171.2;3750.8;3144.2;7315.4;606.6000000000004
2000-01-03 07:00:00;8024.7;3963.7;4061.0;3501.2;7464.9;559.8000000000002
2000-01-03 08:00:00;8228.7;3959.5;4269.200000000001;3633.1;7592.6;636.1000000000004
2000-01-03 09:00:00;8904.0;3963.1;4940.9;4210.5;8173.6;730.3999999999996
2000-01-03 10:00:00;9088.7;3964.8;5123.900000000001;4355.1;8319.900000000001;768.7999999999993
2000-01-03 11:00:00;8866.7;3964.7;4902.000000000001;4119.6;8084.3;782.4000000000005
2000-01-03 12:00:00;8757.1;3974.5;4782.6;3996.6;7971.1;786.0
2000-01-03 13:00:00;9174.4;3972.8;5201.599999999999;4424.8;8397.6;776.7999999999993
2000-01-03 14:00:00;9608.4;3969.8;5638.599999999999;4810.8;8780.6;827.7999999999993
2000-01-03 15:00:00;9712.1;3970.4;5741.700000000001;4883.0;8853.4;858.7000000000007
2000-01-03 16:00:00;9676.2;3967.1;5709.1;4853.9;8821.0;855.2000000000007
2000-01-03 17:00:00;9420.1;3967.7;5452.400000000001;4628.2;8595.9;824.2000000000007
2000-01-03 18:00:00;8715.6;3981.9;4733.700000000001;3958.1;7940.0;775.6000000000004
2000-01-03 19:00:00;8790.1;3979.2;4810.900000000001;4079.8;8059.0;731.1000000000004
2000-01-03 20:00:00;10316.7;4665.0;5651.700000000001;4929.9;9594.9;721.8000000000011
2000-01-03 21:00:00;11448.8;5180.6;6268.199999999999;5315.0;10495.6;953.1999999999988
2000-01-03 22:00:00;11413.6;5188.3;6225.3;5263.0;10451.3;962.3000000000012
2000-01-03 23:00:00;11186.1;5173.7;6012.400000000001;5108.0;10281.7;904.3999999999996
2000-01-04 00:00:00;10257.6;4834.9;5422.700000000001;4585.7;9420.6;837.0000000000018
2000-01-04 01:00:00;9480.4;4465.5;5014.9;4273.5;8739.0;741.3999999999996
2000-01-04 02:00:00;8895.9;4053.1;4842.799999999999;4134.3;8187.4;708.5
2000-01-04 03:00:00;8412.3;4017.5;4394.799999999999;3723.4;7740.9;671.3999999999996
2000-01-04 04:00:00;8373.1;4001.4;4371.700000000001;3708.6;7710.0;663.1000000000004
2000-01-04 05:00:00;8991.0;4365.3;4625.7;3956.1;8321.4;669.6000000000004
2000-01-04 06:00:00;9479.8;4731.8;4747.999999999999;4082.1;8813.9;665.8999999999996
2000-01-04 07:00:00;10018.2;4977.8;5040.400000000001;4438.3;9416.1;602.1000000000004
2000-01-04 08:00:00;10585.1;5157.2;5427.900000000001;4782.4;9939.6;645.5000000000018
2000-01-04 09:00:00;10928.1;5306.5;5621.6;4920.0;10226.5;701.6000000000004
2000-01-04 10:00:00;10942.6;5289.4;5653.200000000001;4904.8;10194.2;748.3999999999996
2000-01-04 11:00:00;10984.3;5306.5;5677.799999999999;4906.0;10212.5;771.7999999999993
2000-01-04 12:00:00;10799.1;5300.2;5498.900000000001;4747.0;10047.2;751.8999999999996
2000-01-04 13:00:00;11138.5;5493.6;5644.9;4879.2;10372.8;765.7000000000007
2000-01-04 14:00:00;11146.8;5491.2;5655.599999999999;4842.5;10333.7;813.0999999999985
2000-01-04 15:00:00;11156.9;5497.4;5659.5;4818.8;10316.2;840.6999999999989
2000-01-04 16:00:00;11159.5;5504.8;5654.7;4811.4;10316.2;843.2999999999993
2000-01-04 17:00:00;11122.9;5492.0;5630.9;4818.5;10310.5;812.3999999999996
2000-01-04 18:00:00;10738.6;5196.6;5542.0;4820.3;10016.9;721.6999999999989
2000-01-04 19:00:00;10608.4;5080.0;5528.4;4804.3;9884.3;724.1000000000004
2000-01-04 20:00:00;11011.2;5387.8;5623.400000000001;4872.7;10260.5;750.7000000000007
2000-01-04 21:00:00;11148.3;5464.9;5683.4;4730.5;10195.4;952.8999999999996
2000-01-04 22:00:00;11136.3;5457.4;5678.9;4716.5;10173.9;962.3999999999996
2000-01-04 23:00:00;10880.1;5255.7;5624.400000000001;4714.2;9969.9;910.2000000000008
2000-01-05 00:00:00;10632.1;4979.4;5652.700000000001;4819.7;9799.1;833.0000000000018
2000-01-05 01:00:00;10335.7;4828.8;5506.900000000001;4716.3;9545.1;790.6000000000004
2000-01-05 02:00:00;10019.8;4842.1;5177.699999999999;4435.6;9277.7;742.0999999999985
2000-01-05 03:00:00;9881.2;4858.6;5022.6;4292.6;9151.2;730.0
2000-01-05 04:00:00;9831.3;4844.5;4986.799999999999;4262.1;9106.6;724.6999999999989
2000-01-05 05:00:00;10406.9;5013.6;5393.299999999999;4656.9;9670.5;736.3999999999996
2000-01-05 06:00:00;10755.9;5183.5;5572.4;4874.7;10058.2;697.6999999999989
2000-01-05 07:00:00;10929.8;5386.8;5542.999999999999;4900.0;10286.8;643.0
2000-01-05 08:00:00;11011.2;5430.4;5580.800000000001;4905.2;10335.6;675.6000000000022
2000-01-05 09:00:00;11021.8;5410.3;5611.499999999999;4876.4;10286.7;735.0999999999985
2000-01-05 10:00:00;11049.3;5415.4;5633.9;4859.2;10274.6;774.7000000000007
2000-01-05 11:00:00;11047.4;5402.0;5645.4;4855.6;10257.6;789.7999999999993
2000-01-05 12:00:00;11059.3;5402.2;5657.099999999999;4855.6;10257.8;801.5
2000-01-05 13:00:00;11216.6;5565.8;5650.8;4846.7;10412.5;804.1000000000004
2000-01-05 14:00:00;11278.7;5603.4;5675.300000000001;4826.1;10429.5;849.2000000000007
2000-01-05 15:00:00;11224.7;5585.7;5639.000000000001;4746.7;10332.4;892.3000000000011
2000-01-05 16:00:00;11215.0;5587.6;5627.4;4753.6;10341.2;873.7999999999993
2000-01-05 17:00:00;11139.7;5564.2;5575.500000000001;4753.0;10317.2;822.5
2000-01-05 18:00:00;10413.8;5047.0;5366.799999999999;4553.8;9600.8;813.0
2000-01-05 19:00:00;10267.3;4936.3;5330.999999999999;4597.1;9533.4;733.8999999999978
2000-01-05 20:00:00;10840.1;5383.2;5456.900000000001;4713.4;10096.6;743.5000000000018
2000-01-05 21:00:00;11043.6;5406.7;5636.900000000001;4697.4;10104.1;939.5000000000018
2000-01-05 22:00:00;10994.0;5414.9;5579.1;4618.5;10033.4;960.6000000000004
2000-01-05 23:00:00;10515.6;5538.0;4977.6;4042.3;9580.3;935.3000000000012
2000-01-06 00:00:00;10480.2;5032.9;5447.300000000001;4571.8;9604.7;875.5
2000-01-06 01:00:00;10171.6;4839.5;5332.1;4531.9;9371.4;800.2000000000007
2000-01-06 02:00:00;9836.4;4801.9;5034.5;4261.6;9063.5;772.8999999999996
2000-01-06 03:00:00;9765.7;4819.1;4946.6;4216.3;9035.4;730.2999999999993
2000-01-06 04:00:00;9755.1;4825.9;4929.200000000001;4205.1;9031.0;724.1000000000004
2000-01-06 05:00:00;10370.7;4995.3;5375.400000000001;4672.4;9667.7;703.0
2000-01-06 06:00:00;10745.6;5165.1;5580.5;4887.8;10052.9;692.6999999999989
2000-01-06 07:00:00;10932.7;5384.5;5548.200000000001;4898.9;10283.4;649.3000000000011
2000-01-06 08:00:00;10944.5;5389.4;5555.1;4860.4;10249.8;694.7000000000007
2000-01-06 09:00:00;10972.8;5398.3;5574.499999999999;4816.0;10214.3;758.5
2000-01-06 10:00:00;10979.7;5393.1;5586.6;4819.4;10212.5;767.2000000000007
2000-01-06 11:00:00;10969.7;5364.3;5605.400000000001;4802.3;10166.6;803.1000000000004
2000-01-06 12:00:00;10992.9;5377.1;5615.799999999999;4815.1;10192.2;800.6999999999989
2000-01-06 13:00:00;10967.7;5412.7;5555.000000000001;4760.7;10173.4;794.3000000000011
2000-01-06 14:00:00;11025.4;5407.2;5618.2;4755.9;10163.1;862.3000000000011
2000-01-06 15:00:00;11055.0;5409.2;5645.8;4751.6;10160.8;894.2000000000007
2000-01-06 16:00:00;11089.5;5444.7;5644.8;4739.3;10184.0;905.5
2000-01-06 17:00:00;11022.3;5433.1;5589.199999999999;4753.8;10186.9;835.3999999999978
2000-01-06 18:00:00;10459.3;5041.5;5417.799999999999;4618.2;9659.7;799.5999999999985
2000-01-06 19:00:00;10504.5;5016.7;5487.8;4747.6;9764.3;740.2000000000007
2000-01-06 20:00:00;10948.6;5532.2;5416.400000000001;4660.7;10192.9;755.7000000000007
2000-01-06 21:00:00;11188.6;5592.1;5596.5;4642.0;10234.1;954.5
2000-01-06 22:00:00;11027.1;5584.8;5442.3;4458.1;10042.9;984.1999999999988
2000-01-06 23:00:00;10968.9;5588.2;5380.7;4453.0;10041.2;927.6999999999988
2000-01-07 00:00:00;10692.7;5092.5;5600.200000000001;4718.5;9811.0;881.7000000000007
2000-01-07 01:00:00;9884.6;4824.2;5060.400000000001;4209.5;9033.7;850.8999999999996
2000-01-07 02:00:00;9111.0;4504.1;4606.9;3820.0;8324.1;786.8999999999996
2000-01-07 03:00:00;8894.2;4519.7;4374.500000000001;3611.7;8131.4;762.8000000000011
2000-01-07 04:00:00;9053.1;4507.5;4545.6;3800.0;8307.5;745.6000000000004
2000-01-07 05:00:00;9318.4;4502.2;4816.2;4099.1;8601.3;717.1000000000004
2000-01-07 06:00:00;9703.4;4584.9;5118.5;4393.7;8978.599999999999;724.8000000000011
2000-01-07 07:00:00;9818.3;4732.6;5085.699999999999;4415.1;9147.7;670.5999999999985
2000-01-07 08:00:00;9861.7;4742.7;5119.000000000001;4419.1;9161.8;699.9000000000015
2000-01-07 09:00:00;10086.3;4900.4;5185.9;4410.0;9310.4;775.8999999999996
2000-01-07 10:00:00;10402.9;4898.5;5504.4;4690.1;9588.6;814.2999999999993
